Chemical_name	Target_gene	Target_gene_entrez_id	Source	RadiationDB_target gene_annotation
3-aminopyridine-2-carboxaldehyde thiosemicarbazone	G6PD	2539	PharmGKB	-
Lopinavir	ZSCAN25	221785	PharmGKB	-
NVP-BEZ235	MTOR	2475	CMap	Experiment
NVP-BEZ235	PIK3CA	5290	CMap	Experiment
NVP-BEZ235	PIK3CD	5293	CMap	Experiment
NVP-BEZ235	PIK3CG	5294	CMap	-
MK-2206	AKT1	207	CMap	Experiment
ABT-737	BCL2	596	CMap	Experiment
ABT-737	BCL2L1	598	CMap	Experiment
ABT-737	BCL2L2	599	CMap	-
AZD-7762	CHEK1	1111	CMap	Experiment
AZD-7762	CHEK2	11200	CMap	Experiment
NVP-AUY922	HSP90AA1	3320	CMap	Experiment
NVP-AUY922	HSP90AB1	3326	CMap	-
PU-H71	HSP90AA1	3320	CMap	Experiment
NVP-BSK805	JAK2	3717	CMap	-
U-0126	MAP2K1	5604	CMap	Experiment
U-0126	MAP2K2	5605	CMap	Experiment
LY-294002	MTOR	2475	CMap	Experiment
LY-294002	PIK3CA	5290	CMap	Experiment
LY-294002	PIK3CB	5291	CMap	Experiment
LY-294002	PIK3CD	5293	CMap	Experiment
LY-294002	PIK3CG	5294	CMap//Drugbank	-
LY-294002	PLK1	5347	CMap	Experiment
LY-294002	PRKDC	5591	CMap	Experiment
AZD-8055	MTOR	2475	CMap	Experiment
PF-04691502	MTOR	2475	CMap	Experiment
PF-04691502	PIK3CA	5290	CMap	Experiment
PI-103	MTOR	2475	CMap	Experiment
PI-103	PIK3CA	5290	CMap	Experiment
PI-103	PIK3CB	5291	CMap	Experiment
PI-103	PIK3CD	5293	CMap	Experiment
PI-103	PIK3CG	5294	CMap	-
MK-8033	MET	4233	CMap	Experiment
PHA-665752	MET	4233	CMap	Experiment
NVP-ADW742	IGF1R	3480	CMap	Experiment
NVP-AEW541	IGF1R	3480	CMap	Experiment
YM-155	BIRC5	332	CMap	Experiment
KU-55933	ATM	472	CMap	Experiment
KU-60019	ATM	472	CMap	Experiment
SGI-1776	PIM2	11040	CMap	-
SGI-1776	FLT3	2322	CMap	Experiment
SGI-1776	PIM3	415116	CMap	Experiment
SGI-1776	PIM1	5292	CMap	Experiment
MG-132	PSMB1	5689	CMap	-
MK-1775	WEE1	7465	CMap//Drugbank	Experiment
ICG-001	CTNNB1	1499	CMap	Experiment
JNJ-38877605	MET	4233	CMap	Experiment
SB-431542	ACVR1C	130399	CMap	-
SB-431542	TGFBR1	7046	CMap	-
BIX-01294	EHMT2	10919	CMap	Experiment
Cetuximab	EGFR	1956	Drugbank	Experiment
Cetuximab	FCGR3B	2215	Drugbank	-
Cetuximab	FCGR1A	2209	Drugbank	-
Cetuximab	FCGR3A	2214	Drugbank	-
Cetuximab	FCGR2A	2212	Drugbank	-
Cetuximab	C1QC	714	Drugbank	-
Cetuximab	C1QB	713	Drugbank	-
Cetuximab	C1QA	712	Drugbank	-
Trastuzumab	ERBB2	2064	Drugbank	Experiment
Bevacizumab	FCGR1A	2209	Drugbank	-
Bevacizumab	FCGR3A	2214	Drugbank	-
Bevacizumab	FCGR2B	2213	Drugbank	-
Bevacizumab	FCGR2A	2212	Drugbank	-
Bevacizumab	FCGR2C	9103	Drugbank	-
Bevacizumab	C1QC	714	Drugbank	-
Bevacizumab	C1QB	713	Drugbank	-
Bevacizumab	C1QA	712	Drugbank	-
Bevacizumab	VEGFA	7422	Drugbank	Experiment
Calcitriol	HOXA10	3206	Drugbank	Experiment
Calcitriol	VDR	7421	Drugbank	-
Glutathione	GSTA5	221357	Drugbank	-
Glutathione	GSTO2	119391	Drugbank	-
Glutathione	GSTT1	2952	Drugbank	-
Glutathione	GSTA2	2939	Drugbank	-
Glutathione	GLO1	2739	Drugbank	-
Glutathione	AKR1B1	231	Drugbank	-
Glutathione	GSTP1	2950	Drugbank	Experiment
Glutathione	LTC4S	4056	Drugbank	-
Glutathione	GSTK1	373156	Drugbank	-
Glutathione	GPX5	2880	Drugbank	-
Glutathione	GPX3	2878	Drugbank	-
Glutathione	GSTA1	2938	Drugbank	-
Glutathione	GSR	2936	Drugbank	-
Glutathione	HPGDS	27306	Drugbank	-
Glutathione	GPX8	493869	Drugbank	-
Glutathione	GSTA3	2940	Drugbank	-
Glutathione	GSTM2	2946	Drugbank	-
Glutathione	HAGH	3029	Drugbank	-
Glutathione	GSTA4	2941	Drugbank	-
Glutathione	GLRX	2745	Drugbank	-
Glutathione	GSTM5	2949	Drugbank	-
Glutathione	GSTO1	9446	Drugbank	-
Glutathione	ESD	2098	Drugbank	-
Glutathione	MGST1	4257	Drugbank	-
Glutathione	GPX4	2879	Drugbank	Experiment
Glutathione	CYP3A4	1576	Drugbank	-
Glutathione	GPX7	2882	Drugbank	-
Glutathione	PRNP	5621	Drugbank	-
Glutathione	GGT1	2678	Drugbank	-
