Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Proteoglycans in cancer Homo sapiens hsa05205	30/203	1.899991453195413e-20	4.198981111561863e-18	0	0	11.664540562088895	529.6850660785465	CD63;CDKN1A;ITGB5;ROCK1;ITGB3;ITPR1;PIK3CB;HIF1A;EGFR;IGF1R;CCND1;ERBB3;ERBB2;AKT1;ITGAV;FZD2;TGFB1;CAV1;STAT3;PRKCA;IGF1;ESR1;MMP9;VEGFA;RPS6KB1;PDCD4;HCLS1;CTNNB1;NANOG;TP53
KEGG_2016	Pathways in cancer Homo sapiens hsa05200	37/397	5.041574773033825e-18	5.570940124202376e-16	0	0	7.016489988221437	279.45846895983	CDKN1A;RALB;ROCK1;HDAC1;SLC2A1;CXCR4;PIK3CB;HIF1A;RELA;EGFR;IGF1R;CCND1;ERBB2;ABL1;AKT1;ITGAV;APPL1;JUN;FZD2;TGFB1;STAT1;STAT3;ARNT;PRKCA;IGF1;MLH1;MMP9;VEGFA;NFKBIA;AR;IL6;RAD51;CDK4;BCL2;CTNNB1;ITGA6;TP53
KEGG_2016	HIF-1 signaling pathway Homo sapiens hsa04066	19/103	3.2306887417203797e-15	2.37994070640068e-13	0	0	14.725676317038443	491.3381094761509	CDKN1A;STAT3;SLC2A1;ARNT;PRKCA;IGF1;PIK3CB;HIF1A;RELA;EGFR;IGF1R;VEGFA;IL6;RPS6KB1;ERBB2;BCL2;AKT1;TIMP1;EIF4E
KEGG_2016	Pancreatic cancer Homo sapiens hsa05212	14/66	1.98685397829824e-12	1.0977368230097775e-10	0	0	17.269482151835092	465.3170203310816	RALB;TGFB1;STAT1;STAT3;PIK3CB;RELA;EGFR;VEGFA;RAD51;CCND1;CDK4;ERBB2;AKT1;TP53
KEGG_2016	PI3K-Akt signaling pathway Homo sapiens hsa04151	27/341	9.237820066578588e-12	4.0197348702026914e-10	0	0	5.68337644833808	144.4016100694132	CDKN1A;ITGB5;ITGB3;BRCA1;PIK3CB;RELA;EGFR;IGF1R;CCND1;MYB;SPP1;AKT1;ITGAV;EIF4E;PRKCA;IGF1;OSMR;VEGFA;IL6;RPS6KB1;RHEB;CDK4;BCL2;ITGA6;TP53;EPHA2;ATF4
KEGG_2016	Prostate cancer Homo sapiens hsa05215	15/89	1.091330733991681e-11	4.0197348702026914e-10	0	0	13.030128489144882	328.8939711338312	CDKN1A;PIK3CB;IGF1;RELA;EGFR;IGF1R;NFKBIA;AR;CCND1;ERBB2;BCL2;AKT1;CTNNB1;TP53;ATF4
KEGG_2016	MicroRNAs in cancer Homo sapiens hsa05206	25/297	1.4902752733746508e-11	4.705011934511398e-10	0	0	6.046859421734796	150.74503182760677	CDKN1A;DNMT1;ROCK1;HDAC1;ITGB3;BRCA1;BMI1;EGFR;CCND1;ERBB3;ERBB2;ABL1;DNMT3B;PRKCE;STAT3;PRKCA;SIRT1;MMP9;VEGFA;ZEB1;FSCN1;BCL2;PDCD4;ATM;TP53
KEGG_2016	Hepatitis B Homo sapiens hsa05161	18/146	2.194953843541784e-11	6.063559992784177e-10	0	0	9.10430463576159	223.44034809676728	JUN;CDKN1A;TGFB1;STAT1;STAT3;PRKCA;PIK3CB;MMP9;RELA;NFKBIA;MAVS;IL6;CCND1;CDK4;BCL2;AKT1;TP53;ATF4
KEGG_2016	HTLV-I infection Homo sapiens hsa05166	23/258	3.135302459374302e-11	7.698909372463563e-10	0	0	6.407837237624472	154.97809556082518	JUN;CDKN1A;FZD2;TGFB1;SLC2A1;BUB1B;PIK3CB;RELA;NFKBIA;IL6;TERT;CCND1;CDK4;CHEK1;MYB;CDC27;AKT1;CTNNB1;VDAC1;ATM;TP53;ATF3;ATF4
KEGG_2016	FoxO signaling pathway Homo sapiens hsa04068	17/133	4.457845765698527e-11	9.851839142193742e-10	0	0	9.462501422556048	225.52708618018215	USP7;CDKN1A;TGFB1;PLK1;STAT3;IGF1;PIK3CB;SOD2;SIRT1;EGFR;IGF1R;CCNB1;IL6;CCND1;TNFSF10;AKT1;ATM
