LncRNA_symbol	Entrez_ID	Target_official_symbol	Target_entrez_gene_ID	PMID	Source	RadiationDB_target gene_annotation
AGAP2-AS1	100130776	EZH2	2146	27195672	LncRNA2Target	Experiment
AGAP2-AS1	100130776	KDM1A	23028	27195672	LncRNA2Target	-
AGAP2-AS1	100130776	KLF2	10365	27195672	LncRNA2Target	-
AGAP2-AS1	100130776	LATS2	26524	27195672	LncRNA2Target	-
AGAP2-AS1	100130776	CDH1	999	28209205	LncRNA2Target	Experiment
AGAP2-AS1	100130776	CDKN1A	1026	28209205	LncRNA2Target	Experiment
AGAP2-AS1	100130776	EZH2	2146	28209205	LncRNA2Target	Experiment
AGAP2-AS1	100130776	KDM1A	23028	28209205	LncRNA2Target	-
AGAP2-AS1	100130776	hsa-miR-628-3p	693213	33604734	LncRNA2Target	-
CBR3-AS1	100506428	AR	367	22264502	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-218-1	407000	25569100	LncRNA2Target	-
CCAT1	100507056	hsa-miR-410	574434	27765628	LncRNA2Target	Experiment
CCAT1	100507056	HOXB13	10481	27956498	LncRNA2Target	Prediction
CCAT1	100507056	hsa-miR-9-5p	0	27956498	LncRNA2Target	Experiment
CCAT1	100507056	SPRY4	81848	27956498	LncRNA2Target	-
CCAT1	100507056	SUV39H1	6839	27956498	LncRNA2Target	-
CCAT1	100507056	CCND1	595	28078015	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-181a-1	406995	28358263	LncRNA2Target	-
CCAT1	100507056	hsa-miR-33a	407039	28409554	LncRNA2Target	Experiment
CCAT1	100507056	BIRC7	79444	28470345	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-181b-1	406955	28475287	LncRNA2Target	-
CCAT1	100507056	hsa-miR-130b-3p	406920	28754469	LncRNA2Target	Prediction
CCAT1	100507056	hsa-miR-152	406943	28754469	LncRNA2Target	-
CCAT1	100507056	hsa-miR-152	406943	28921383	LncRNA2Target	-
CCAT1	100507056	hsa-miR-130a-3p	406919	29020498	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-148b-3p	442892	29024383	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-410	574434	29190961	LncRNA2Target	Experiment
