miRNA,Target gene,Gene id,PMID,Source,RadiationDB_target gene_annotation
hsa-let-7a-5p,CDK6,1021,24383407,miRTarBase,Experiment
hsa-let-7a-5p,MYC,4609,20033209//16651716,miRTarBase,Experiment
hsa-let-7a-5p,NKIRAS2,28511,20351193,miRTarBase,-
hsa-let-7a-5p,ITGB3,3690,18679415,miRTarBase,Experiment
hsa-let-7a-5p,NF2,4771,17220301,miRTarBase,-
hsa-let-7a-5p,NRAS,4893,19110058//15766527,miRTarBase,-
hsa-let-7a-5p,KRAS,3845,15766527//20033209//16651716//25955298,miRTarBase,Experiment
hsa-let-7a-5p,PRDM1,639,18583325//20651244,miRTarBase,-
hsa-let-7a-5p,TRIM71,131405,17890240//18829576,miRTarBase,-
hsa-let-7a-5p,RAVER2,55225,17637574,miRTarBase,-
hsa-let-7a-5p,HMGA2,8091,17600087//18083101//17322030//18413822//19179606//22139073//24617339//25884389,miRTarBase,-
hsa-let-7a-5p,HMGA1,3159,19179606//22139073//25846193,miRTarBase,Experiment
hsa-let-7a-5p,AGO4,192670,20144220,miRTarBase,-
hsa-let-7a-5p,UHRF2,115426,19818775,miRTarBase,-
hsa-let-7a-5p,DICER1,23405,18700235,miRTarBase,-
hsa-let-7a-5p,HRAS,3265,18083101//21252116//24092860,miRTarBase,Prediction
hsa-let-7a-5p,IGF2,3481,17974952,miRTarBase,Prediction
hsa-let-7a-5p,LIN28A,79727,16495412,miRTarBase,Experiment
hsa-let-7a-5p,CASP3,836,18758960,miRTarBase,Experiment
hsa-let-7a-5p,IL6,3569,19878981,miRTarBase,Experiment
hsa-let-7a-5p,E2F2,1870,20418948,miRTarBase,-
hsa-let-7a-5p,CCND2,894,20418948//26393798,miRTarBase,Prediction
hsa-let-7a-5p,IGF2BP1,10642,21252116,miRTarBase,-
hsa-let-7a-5p,CDC34,997,21252116,miRTarBase,-
hsa-let-7a-5p,EWSR1,2130,21853155,miRTarBase,-
hsa-let-7a-5p,CCR7,1236,22251626,miRTarBase,-
hsa-let-7a-5p,CDKN1A,1026,19818775,miRTarBase,Experiment
hsa-let-7a-5p,HAS2,3037,22871741,miRTarBase,Experiment
hsa-let-7a-5p,EGFR,1956,23032975,miRTarBase,Experiment
hsa-let-7a-5p,RRM2,6241,23335963,miRTarBase,Experiment
hsa-let-7a-5p,AGO1,26523,23426184,miRTarBase,-
hsa-let-7a-5p,EZH2,2146,22972404,miRTarBase,Experiment
hsa-let-7a-5p,UHRF1,29128,26049093,miRTarBase,Experiment
hsa-let-7a-5p,PAK1,5058,23339187,miRTarBase,-
hsa-let-7a-5p,AURKB,9212,23769985,miRTarBase,Experiment
hsa-let-7a-5p,RAB40C,57799,21349817,miRTarBase,-
hsa-let-7a-5p,ARG2,384,26989813,miRTarBase,-
hsa-let-7a-5p,TNFRSF10B,8795,24120475,miRTarBase,Experiment
hsa-let-7a-5p,TGFBR3,7049,27223264,miRTarBase,-
hsa-let-7a-5p,LIN28B,389421,26997273,miRTarBase,Experiment
hsa-let-7a-5p,PARP1,142,28031413,miRTarBase,Experiment
hsa-let-7a-5p,PKM,5315,26745603//28415668,miRTarBase,Experiment
hsa-let-7a-5p,WNT1,7471,27821157,miRTarBase,Experiment
hsa-let-7a-5p,STAT3,6774,27932893,miRTarBase,Experiment
hsa-let-7a-5p,MAP4K4,9448,26197270,miRTarBase,-
hsa-let-7a-5p,TNFAIP3,7128,26110642,miRTarBase,Experiment
hsa-let-7b-5p,CDC34,997,19126550//21252116,miRTarBase,-
hsa-let-7b-5p,RDH10,157506,18668040,miRTarBase,-
hsa-let-7b-5p,IGF2BP1,10642,21252116//23824794,miRTarBase,-
hsa-let-7b-5p,HMGA1,3159,23798998,miRTarBase,Experiment
hsa-let-7b-5p,ANAPC1,64682,26540468,miRTarBase,-
hsa-let-7b-5p,MTPN,136319,15806104,miRTarBase,-
hsa-let-7b-5p,HMGA2,8091,17437991//23482325//23318420,miRTarBase,-
hsa-let-7b-5p,CDC25A,993,17699775,miRTarBase,Experiment
hsa-let-7b-5p,CDK6,1021,17699775,miRTarBase,Experiment
hsa-let-7b-5p,CCND1,595,18379589//20133835//23806108,miRTarBase,Experiment
hsa-let-7b-5p,LIN28B,389421,16971064,miRTarBase,Experiment
hsa-let-7b-5p,CCND2,894,17699775//23482325,miRTarBase,Prediction
hsa-let-7b-5p,NRAS,4893,17699775,miRTarBase,-
hsa-let-7b-5p,CCNA2,890,18379589,miRTarBase,Prediction
hsa-let-7b-5p,LIN28A,79727,15131085,miRTarBase,Experiment
hsa-let-7b-5p,IFNB1,3456,20130213,miRTarBase,-
hsa-let-7b-5p,NR2E1,7101,20133835,miRTarBase,-
hsa-let-7b-5p,IGF2BP2,10644,23482325,miRTarBase,-
hsa-let-7b-5p,PRDM1,639,20651244,miRTarBase,-
hsa-let-7b-5p,HRAS,3265,21252116,miRTarBase,Prediction
hsa-let-7b-5p,CYP2J2,1573,22761738,miRTarBase,-
hsa-let-7b-5p,AGO1,26523,23426184,miRTarBase,-
hsa-let-7b-5p,IRS2,8660,24810113,miRTarBase,-
hsa-let-7b-5p,IGF1R,3480,23482325,miRTarBase,Experiment
hsa-let-7b-5p,COL3A1,1281,22995917,miRTarBase,Prediction
hsa-let-7b-5p,CPEB1,64506,22995917,miRTarBase,-
hsa-let-7b-5p,CPEB3,22849,22995917,miRTarBase,-
hsa-let-7b-5p,TGFBR1,7046,24978044,miRTarBase,-
hsa-let-7b-5p,CTHRC1,115908,25510669,miRTarBase,-
hsa-let-7b-5p,AKT2,208,25288334,miRTarBase,-
hsa-let-7b-5p,TLR4,7099,23437218,miRTarBase,-
hsa-let-7b-5p,TNFRSF10B,8795,24120475,miRTarBase,Experiment
hsa-let-7b-5p,LGR4,55366,27179410,miRTarBase,Experiment
hsa-let-7b-5p,EZH2,2146,25611389,miRTarBase,Experiment
hsa-let-7b-5p,E2F2,1870,27520092,miRTarBase,-
hsa-let-7d-5p,HMGA2,8091,17600087//20395557//17957144//23318420,miRTarBase,-
hsa-let-7d-5p,DICER1,23405,18700235,miRTarBase,-
hsa-let-7d-5p,SLC11A2,4891,20410187,miRTarBase,-
hsa-let-7d-5p,IL13,3596,21616524,miRTarBase,-
hsa-let-7d-5p,AGO1,26523,23426184,miRTarBase,-
hsa-let-7d-5p,TNFRSF10B,8795,24120475,miRTarBase,Experiment
hsa-let-7d-5p,COL3A1,1281,25193015,miRTarBase,Prediction
hsa-let-7d-5p,CRYGEP,200575,25193015,miRTarBase,-
hsa-let-7g-5p,KRAS,3845,18308936,miRTarBase,Experiment
hsa-let-7g-5p,COL1A2,1278,20338660,miRTarBase,Prediction
